"","Crop","Year","State","Area","Production","Yield"
"706","Pearl Millet (Bajra)",2010,"Rajasthan",5488.7,4566.598,832
"707","Pearl Millet (Bajra)",2011,"Rajasthan",5019.89,4593.208,915.002
"708","Pearl Millet (Bajra)",2012,"Rajasthan",3988.89,3876.71,971.877
"709","Pearl Millet (Bajra)",2013,"Rajasthan",4434.56,0.8,0.18
"710","Pearl Millet (Bajra)",2015,"Rajasthan",4044.591,1047.7,885.496
"711","Pearl Millet (Bajra)",2016,"Rajasthan",4150.312,0.7,0.169
"712","Pearl Millet (Bajra)",2017,"Rajasthan",4236.288,0.598,0.141
"713","Pearl Millet (Bajra)",2018,"Rajasthan",4180.2,3808.162,911
"714","Pearl Millet (Bajra)",2019,"Rajasthan",4287.17,4685.877,1093
"715","Pearl Millet (Bajra)",1967,"Tamil Nadu",445.5,295.5,663.3
"716","Pearl Millet (Bajra)",1968,"Tamil Nadu",401.9,253,629.51
"717","Pearl Millet (Bajra)",1969,"Tamil Nadu",459.3,309.9,674.722
"718","Pearl Millet (Bajra)",1970,"Tamil Nadu",489.7,321.2,655.912
"719","Pearl Millet (Bajra)",1971,"Tamil Nadu",493.6,296.6,600.891
"720","Pearl Millet (Bajra)",1972,"Tamil Nadu",428,290.5,678.738
"721","Pearl Millet (Bajra)",1973,"Tamil Nadu",401.2,339.7,846.71
"722","Pearl Millet (Bajra)",1974,"Tamil Nadu",372.5,214.5,575.839
"723","Pearl Millet (Bajra)",1976,"Tamil Nadu",456.1,460.5,1009.647
"724","Pearl Millet (Bajra)",1977,"Tamil Nadu",437.2,374.5,856.587
"725","Pearl Millet (Bajra)",1978,"Tamil Nadu",408.5,454.3,1112.118
"726","Pearl Millet (Bajra)",1979,"Tamil Nadu",370.2,329.1,888.979
"727","Pearl Millet (Bajra)",1980,"Tamil Nadu",319,268,840.125
"728","Pearl Millet (Bajra)",1981,"Tamil Nadu",368.2,360.3,978.544
"729","Pearl Millet (Bajra)",1983,"Tamil Nadu",351.8,413.5,1175.384
"730","Pearl Millet (Bajra)",1984,"Tamil Nadu",322.3,325.9,1011.17
"731","Pearl Millet (Bajra)",1985,"Tamil Nadu",310,360.4,1162.581
"732","Pearl Millet (Bajra)",1986,"Tamil Nadu",298.3,281.1,942.34
"733","Pearl Millet (Bajra)",1987,"Tamil Nadu",275.3,283.9,1031.239
"734","Pearl Millet (Bajra)",1988,"Tamil Nadu",289,303.1,1048.789
"735","Pearl Millet (Bajra)",1989,"Tamil Nadu",272,324.2,1191.912
"736","Pearl Millet (Bajra)",1990,"Tamil Nadu",274.1,296.3,1080.992
"737","Pearl Millet (Bajra)",1993,"Tamil Nadu",212.5,238.2,1120.941
"738","Pearl Millet (Bajra)",1994,"Tamil Nadu",191.9,230.9,1203.231
"739","Pearl Millet (Bajra)",1995,"Tamil Nadu",172.5,188.9,1095.072
"740","Pearl Millet (Bajra)",1996,"Tamil Nadu",164.6,194.9,1184.083
"741","Pearl Millet (Bajra)",1997,"Tamil Nadu",188.8,212,1122.881
"742","Pearl Millet (Bajra)",1998,"Tamil Nadu",153.9,206.1,1339.181
"743","Pearl Millet (Bajra)",1999,"Tamil Nadu",157.8,241.5,1530.418
"744","Pearl Millet (Bajra)",2000,"Tamil Nadu",129.3,170.4,1317.865
"745","Pearl Millet (Bajra)",2003,"Tamil Nadu",158.8,172.3,1085.013
"746","Pearl Millet (Bajra)",2004,"Tamil Nadu",97.6,124.3,1273.566
"747","Pearl Millet (Bajra)",2005,"Tamil Nadu",81.9,94.8,1157.509
"748","Pearl Millet (Bajra)",2006,"Tamil Nadu",65.5,99,1511.45
"749","Pearl Millet (Bajra)",2007,"Tamil Nadu",59.8,85.8,1434.783
"750","Pearl Millet (Bajra)",2010,"Tamil Nadu",49.5,77.4,1563.636
"751","Pearl Millet (Bajra)",2011,"Tamil Nadu",46.67,114.45,2452.325
"752","Pearl Millet (Bajra)",2012,"Tamil Nadu",42.93,56.93,1326.112
"753","Pearl Millet (Bajra)",2013,"Tamil Nadu",54.41,3627.47,66669.178
"754","Pearl Millet (Bajra)",2014,"Tamil Nadu",57.7,4456.12,77229.116
"755","Pearl Millet (Bajra)",2016,"Tamil Nadu",49.67,4154.965,83651.399
"756","Pearl Millet (Bajra)",2017,"Tamil Nadu",63.03,3753.351,59548.646
"757","Pearl Millet (Bajra)",2018,"Tamil Nadu",46.88,117.997,2517
"758","Pearl Millet (Bajra)",2010,"Telangana",19,2.7,267.335
"759","Pearl Millet (Bajra)",2011,"Telangana",11,4.7,231.915
"760","Pearl Millet (Bajra)",2012,"Telangana",10,0.023,733.705
"761","Pearl Millet (Bajra)",2013,"Telangana",10.24,10.01,977.539
"762","Pearl Millet (Bajra)",2014,"Telangana",11,11,1000
"763","Pearl Millet (Bajra)",2015,"Telangana",6,5,833.333
"764","Pearl Millet (Bajra)",2016,"Telangana",17,15,882.353
"765","Pearl Millet (Bajra)",2017,"Telangana",9,9.513,1057
"766","Pearl Millet (Bajra)",2018,"Telangana",8,3.976,497
"767","Pearl Millet (Bajra)",2019,"Telangana",9,10.422,1158
"768","Pearl Millet (Bajra)",1966,"Uttar Pradesh",1012.2,518.6,512.349
"769","Pearl Millet (Bajra)",1967,"Uttar Pradesh",1063.4,490.4,461.162
"770","Pearl Millet (Bajra)",1969,"Uttar Pradesh",1020.2,752.7,737.797
"771","Pearl Millet (Bajra)",1970,"Uttar Pradesh",1121.1,882,786.727
"772","Pearl Millet (Bajra)",1971,"Uttar Pradesh",949,529.5,557.956
"773","Pearl Millet (Bajra)",1972,"Uttar Pradesh",1085.8,719.6,662.737
"774","Pearl Millet (Bajra)",1974,"Uttar Pradesh",998.6,491.9,492.59
"775","Pearl Millet (Bajra)",1975,"Uttar Pradesh",1007.6,726.5,721.02
"776","Pearl Millet (Bajra)",1977,"Uttar Pradesh",981.5,657.6,669.995
"777","Pearl Millet (Bajra)",1978,"Uttar Pradesh",930.2,581,624.597
"778","Pearl Millet (Bajra)",1979,"Uttar Pradesh",1042.7,367.3,352.259
"779","Pearl Millet (Bajra)",1980,"Uttar Pradesh",994.8,733.1,736.932
"780","Pearl Millet (Bajra)",1981,"Uttar Pradesh",974.6,679.3,697.004
"781","Pearl Millet (Bajra)",1982,"Uttar Pradesh",954.2,740.7,776.252
"782","Pearl Millet (Bajra)",1983,"Uttar Pradesh",1039.9,901.3,866.718
"783","Pearl Millet (Bajra)",1984,"Uttar Pradesh",946.4,948.6,1002.325
"784","Pearl Millet (Bajra)",1986,"Uttar Pradesh",856.4,774.4,904.25
"785","Pearl Millet (Bajra)",1988,"Uttar Pradesh",835.1,839.8,1005.628
"786","Pearl Millet (Bajra)",1989,"Uttar Pradesh",843.4,903.1,1070.785
"787","Pearl Millet (Bajra)",1990,"Uttar Pradesh",785.1,875.1,1114.635
"788","Pearl Millet (Bajra)",1991,"Uttar Pradesh",746.3,770,1031.757
"789","Pearl Millet (Bajra)",1993,"Uttar Pradesh",815,922.3,1131.656
"790","Pearl Millet (Bajra)",1994,"Uttar Pradesh",884,862.7,975.905
"791","Pearl Millet (Bajra)",1995,"Uttar Pradesh",842,1061,1260.095
"792","Pearl Millet (Bajra)",1996,"Uttar Pradesh",796.1,1017.3,1277.855
"793","Pearl Millet (Bajra)",1997,"Uttar Pradesh",875.7,1260.3,1439.192
"794","Pearl Millet (Bajra)",1998,"Uttar Pradesh",842.8,979.3,1161.96
"795","Pearl Millet (Bajra)",1999,"Uttar Pradesh",835,1165,1395.21
"796","Pearl Millet (Bajra)",2001,"Uttar Pradesh",851,968,1137.485
"797","Pearl Millet (Bajra)",2002,"Uttar Pradesh",831.3,1072.5,1290.148
"798","Pearl Millet (Bajra)",2003,"Uttar Pradesh",877.6,1119.9,1276.094
"799","Pearl Millet (Bajra)",2004,"Uttar Pradesh",797.6,1223.9,1534.478
"800","Pearl Millet (Bajra)",2006,"Uttar Pradesh",884,1286,1454.751
"801","Pearl Millet (Bajra)",2007,"Uttar Pradesh",879,1336.4,1520.364
"802","Pearl Millet (Bajra)",2010,"Uttar Pradesh",935,1557,1665.241
"803","Pearl Millet (Bajra)",2011,"Uttar Pradesh",888,1633,1838.964
"804","Pearl Millet (Bajra)",2012,"Uttar Pradesh",901,1758,1951.165
"805","Pearl Millet (Bajra)",2014,"Uttar Pradesh",952,177.57,186.523
"806","Pearl Millet (Bajra)",2015,"Uttar Pradesh",975,141.75,145.385
"807","Pearl Millet (Bajra)",2018,"Uttar Pradesh",877,1779.433,2029
"808","Pearl Millet (Bajra)",2019,"Uttar Pradesh",917,1939.455,2115
"809","Pearl Millet (Bajra)",1966,"West Bengal",0.2,0.1,500
"810","Pearl Millet (Bajra)",1967,"West Bengal",0.3,0.2,666.667
"811","Pearl Millet (Bajra)",1968,"West Bengal",0.2,0.1,500
"812","Pearl Millet (Bajra)",1971,"West Bengal",0.1,0.2,730
"813","Pearl Millet (Bajra)",1972,"West Bengal",0.2,0.1,500
"814","Pearl Millet (Bajra)",1974,"West Bengal",0.3,0.2,666.667
"815","Pearl Millet (Bajra)",1975,"West Bengal",0.5,0.3,600
"816","Pearl Millet (Bajra)",1976,"West Bengal",0.3,0.1,333.333
"817","Pearl Millet (Bajra)",1977,"West Bengal",0.6,0.4,666.667
"818","Pearl Millet (Bajra)",1979,"West Bengal",0.6,0.4,666.667
"819","Pearl Millet (Bajra)",1981,"West Bengal",1.1,0.8,727.273
"820","Pearl Millet (Bajra)",1982,"West Bengal",0.5,0.2,400
"821","Pearl Millet (Bajra)",1983,"West Bengal",0.5,0.2,400
"822","Pearl Millet (Bajra)",1984,"West Bengal",0.4,0.1,250
"823","Pearl Millet (Bajra)",1986,"West Bengal",0.1,1.68,1020
"824","Pearl Millet (Bajra)",1987,"West Bengal",0.1,0.1,1000
"825","Pearl Millet (Bajra)",1988,"West Bengal",0.2,0.1,500
"826","Pearl Millet (Bajra)",1989,"West Bengal",0.3,0.2,666.667
"827","Pearl Millet (Bajra)",1992,"West Bengal",0.4,0.3,750
"828","Pearl Millet (Bajra)",1994,"West Bengal",0.3,0.2,666.667
"829","Pearl Millet (Bajra)",1996,"West Bengal",0.2,0.1,500
"830","Pearl Millet (Bajra)",1997,"West Bengal",0.2,0.1,500
"831","Pearl Millet (Bajra)",1998,"West Bengal",0.2,0.1,500
"832","Pearl Millet (Bajra)",1999,"West Bengal",0.1,0.1,1000
"833","Pearl Millet (Bajra)",2000,"West Bengal",0.3,0.3,1000
"834","Pearl Millet (Bajra)",2001,"West Bengal",0.4,0.3,750
"835","Pearl Millet (Bajra)",2002,"West Bengal",0.3,0.3,1000
"836","Pearl Millet (Bajra)",2005,"West Bengal",0.1,0.3,1000
"837","Pearl Millet (Bajra)",2006,"West Bengal",0.1,1736,7761904.762
"838","Pearl Millet (Bajra)",2007,"West Bengal",0.1,0.5,40450
"839","Pearl Millet (Bajra)",2008,"West Bengal",0.1,19,1000
"840","Pearl Millet (Bajra)",2009,"West Bengal",0.053,0.023,433.962
"841","Pearl Millet (Bajra)",2010,"West Bengal",0.064,0.024,375
"842","Pearl Millet (Bajra)",2011,"West Bengal",0.06,0.022,366.667
"843","Pearl Millet (Bajra)",2013,"West Bengal",0.14,1868,13342857.143
"844","Pearl Millet (Bajra)",2014,"West Bengal",0.16,1808,11300000
"845","Pearl Millet (Bajra)",2015,"West Bengal",0.17,1775,10441176.471
"846","Pearl Millet (Bajra)",2018,"West Bengal",0.071,0.029,402
"847","Pearl Millet (Bajra)",2019,"West Bengal",0.068,0.027,401
